ID,Nom,Lat,Lon,Date
295,Aubepierre,46.39353,1.76637,1149
296,Les Pierres,46.5101,2.284,1149
297,Tironneau,48.21219,0.34251,1149
298,Loos,50.6169,3.00002,1149
299,Jedrzejow,50.638333,20.300278,1149
300,La Valroy,49.57783,4.08588,1149
301,Sibton,52.27577,1.46622,1149
302,Longuay,47.92085,4.91124,1150
303,Boulancourt,48.45624,4.64747,1150
304,Cabuabbas,40.284722,8.693333,1150
305,La Oliva,42.371806,-1.466944,1150
306,Jervaulx,54.26709,-1.73786,1150
307,Varnhem,58.38419,13.65566,1150
308,Casanova,44.872222,7.793056,1150
309,Bouillas,43.88305,0.58054,1150
310,Coombe,52.4147,-1.40733,1150
311,Villelongue,43.30578,2.16761,1150
312,La Clarte-Dieu d'Eaunes,43.41878,1.35414,1150
313,Garde-Dieu,44.171944,1.415,1150
314,Abbeyshrule,53.585,-7.65,1150
315,Boulbonne,43.224722,1.685278,1150
316,Bosco,38.56455,16.31978,1150
317,San Martino al Cimino,42.3675,12.128056,1150
318,Meaux,53.8396,-0.3379,1150
319,Stanley,51.448611,-2.066667,1150
320,Lisle-en-Barrois,48.89547,5.12682,1150
321,Flaran,43.88994,0.37415,1151
322,Poblet,41.38088,1.08396,1151
323,Clairlieu,48.65994,6.11733,1151
324,Pontaut,43.58374,-0.51608,1151
325,Kinloss,57.63333,-3.5676,1151
326,Bronnbach,49.71241,9.54787,1151
327,La Merci-Dieu,46.7675,0.838611,1151
328,La Frenade,45.657222,-0.366667,1151
329,Flaxley,51.83643,-2.45075,1151
330,Perignac,44.34305,0.56657,1151
331,Holmcultram,54.8454,-3.2829,1151
332,Fiaes,42.104041,-8.211364,1151
333,Inislounaght,52.3453,-7.7439,1151
334,Clermont,48.09791,-0.93306,1152
335,Valparaiso,41.328611,-5.733333,1152
336,Candeil,43.79922,1.98121,1152
337,Bellebranche,47.87972,-0.43909,1152
338,Moreilles,46.41877,-1.08013,1152
339,Les Chambons,44.63016,4.05382,1152
340,Santes Creus,41.34613,1.36495,1152
341,Rueda,41.296944,-0.313611,1152
342,Santa Maria del Monte,44.132,12.25574,1153
343,La Peyrouse,45.48162,0.86273,1153
344,Chatillon,49.38252,5.58474,1153
345,Mores,48.07691,4.4345,1153
346,Tilty,51.91552,0.32648,1153
347,Newry,54.171667,-6.333333,1153
348,Esrom,56.04759,12.37724,1153
349,Abbeydorney,52.3536,-9.6833,1154
350,Stoneleigh,52.33827,-1.53302,1154
351,Bonnefontaine,49.78522,4.24072,1154
352,Valmagne,43.48682,3.56267,1155
353,Ile de Re,46.18595,-1.29608,1156
354,Balamand,34.36825,35.779444,1157
355,Le Valasse,49.53712,0.50659,1157
356,Svate Pole,50.233333,16.041667,1157
357,Bildhausen,50.276944,10.2875,1158
358,Schontal,49.3281,9.5047,1158
359,Vitskol,56.868694,9.213139,1158
360,Dieulacres,53.117778,-2.038889,1158
361,Tennenbach,48.14488,7.89711,1158
362,Salzedas,41.049722,-7.733333,1159
363,Sambucina,39.44507,16.29231,1160
364,Julita,59.14946,16.04128,1160
365,Salvatio,31.715,35.048611,1161
366,Estrela,40.246667,-7.466667,1161
367,Bonneval,44.5624,2.7949,1162
368,San Prudencio,42.347578,-2.413765,1162
